accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room
1,1.0,1.0,1.0,37.560489000000004,126.926348,0.0,1.0,0.0
8,1.0,1.0,1.0,37.555768,126.92312,1.0,0.0,0.0
3,0.0,1.0,1.0,37.560938,127.03686200000001,1.0,0.0,0.0
1,1.0,1.0,1.0,37.571177,127.01348300000001,0.0,0.0,1.0
1,1.0,1.0,2.0,37.554507,126.92740800000001,0.0,0.0,1.0
6,1.0,2.0,1.0,37.542653,126.95338000000001,0.0,0.0,1.0
2,0.0,1.0,1.0,37.480002,126.94887,1.0,0.0,0.0
2,1.0,1.0,1.0,37.522185,127.02476399999999,1.0,0.0,0.0
7,3.0,2.0,1.0,37.534377,126.998593,1.0,0.0,0.0
7,1.0,1.0,1.0,37.55507,126.96779099999999,1.0,0.0,0.0
3,1.0,1.0,2.0,37.555712,126.968848,1.0,0.0,0.0
4,1.0,1.0,1.0,37.553649,126.92754599999999,1.0,0.0,0.0
6,0.0,1.0,3.0,37.499396999999995,127.028696,1.0,0.0,0.0
4,1.0,1.0,1.0,37.556618,126.924175,1.0,0.0,0.0
5,0.0,1.0,1.0,37.562872999999996,126.989478,1.0,0.0,0.0
4,0.0,1.0,1.0,37.5622,126.98753400000001,1.0,0.0,0.0
2,0.0,1.0,1.0,37.497371,127.03115,1.0,0.0,0.0
3,1.0,1.0,3.0,37.56133,126.99031599999999,1.0,0.0,0.0
6,1.0,1.0,1.0,37.549982,126.914965,1.0,0.0,0.0
4,1.0,1.0,2.0,37.557159999999996,126.924811,1.0,0.0,0.0
2,1.0,1.0,2.0,37.563294,126.91793600000001,0.0,1.0,0.0
1,1.0,1.0,1.0,37.563903,126.91883200000001,0.0,1.0,0.0
3,1.0,1.0,3.0,37.495241,127.021654,1.0,0.0,0.0
4,2.0,1.0,2.0,37.570009999999996,126.902601,1.0,0.0,0.0
4,2.0,2.0,3.0,37.471445,126.97193899999999,1.0,0.0,0.0
12,3.0,1.0,3.0,37.534796,126.990748,1.0,0.0,0.0
3,1.0,1.0,2.0,37.542901,126.94972800000001,1.0,0.0,0.0
4,1.0,1.0,1.0,37.559292,126.92453700000002,1.0,0.0,0.0
8,2.0,1.0,1.0,37.55813,126.86095700000001,1.0,0.0,0.0
4,2.0,1.0,2.0,37.548014,126.91728,1.0,0.0,0.0
6,0.0,1.0,1.0,37.557359000000005,126.97531000000001,1.0,0.0,0.0
4,0.0,1.0,1.0,37.562544,126.99029399999999,1.0,0.0,0.0
2,1.0,1.0,3.0,37.562318,126.922128,1.0,0.0,0.0
4,0.0,1.0,3.0,37.494310999999996,127.02125600000001,1.0,0.0,0.0
2,1.0,1.0,1.0,37.639941,126.92159299999999,0.0,1.0,0.0
4,1.0,1.0,2.0,37.496039,127.02693500000001,1.0,0.0,0.0
2,0.0,1.0,2.0,37.501363,127.03942099999999,1.0,0.0,0.0
2,0.0,1.0,2.0,37.551703,126.90726699999999,1.0,0.0,0.0
2,1.0,2.0,3.0,37.519128,127.10243999999999,0.0,1.0,0.0
2,1.0,1.0,1.0,37.557158,126.937028,0.0,1.0,0.0
2,1.0,1.0,1.0,37.480826,126.95383899999999,0.0,1.0,0.0
2,1.0,1.0,1.0,37.560103000000005,126.98380800000001,0.0,1.0,0.0
2,0.0,1.0,3.0,37.566463,127.00571599999999,1.0,0.0,0.0
2,1.0,1.0,7.0,37.559108,127.02788100000001,0.0,1.0,0.0
3,0.0,1.0,2.0,37.49848,127.027825,1.0,0.0,0.0
3,1.0,1.0,1.0,37.557788,126.984044,0.0,1.0,0.0
4,1.0,1.0,1.0,37.534555,126.992383,0.0,0.0,1.0
2,1.0,1.0,2.0,37.547258,126.91828799999999,0.0,1.0,0.0
10,2.0,1.0,1.0,37.534503,126.992676,1.0,0.0,0.0
4,1.0,1.0,1.0,37.547396,126.965503,1.0,0.0,0.0
2,1.0,1.0,1.0,37.49695,127.02858300000001,1.0,0.0,0.0
3,1.0,1.0,2.0,37.577284000000006,127.029676,1.0,0.0,0.0
4,1.0,1.0,1.0,37.579121,126.972899,0.0,0.0,1.0
6,1.0,1.0,2.0,37.535205,126.94581000000001,0.0,0.0,1.0
10,0.0,0.0,1.0,37.538579999999996,127.05308899999999,1.0,0.0,0.0
12,4.0,2.0,2.0,37.556383000000004,126.964703,1.0,0.0,0.0
10,3.0,2.0,2.0,37.562072,126.989006,1.0,0.0,0.0
4,0.0,1.0,2.0,37.555265999999996,126.971207,1.0,0.0,0.0
10,1.0,1.0,1.0,37.553629,126.92322800000001,0.0,0.0,1.0
2,1.0,0.0,1.0,37.533094,127.11493200000001,0.0,1.0,0.0
1,1.0,1.0,1.0,37.551992999999996,126.97527099999999,0.0,1.0,0.0
2,1.0,1.0,1.0,37.548865,126.939057,0.0,1.0,0.0
5,2.0,1.0,3.0,37.532268,126.99174,1.0,0.0,0.0
3,1.0,1.0,2.0,37.556897,126.926799,1.0,0.0,0.0
4,0.0,1.0,1.0,37.537814000000004,126.970932,1.0,0.0,0.0
2,1.0,1.0,1.0,37.575254,126.989048,0.0,1.0,0.0
3,1.0,1.0,1.0,37.574482,126.97051499999999,1.0,0.0,0.0
3,1.0,1.0,1.0,37.534153,126.90087,1.0,0.0,0.0
16,0.0,5.0,2.0,37.554057,126.971193,1.0,0.0,0.0
