accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room
2.0,1.0,0.0,1.0,35.728914,139.727541,0.0,1.0,0.0
2.0,1.0,1.0,1.0,35.671733,139.772522,1.0,0.0,0.0
3.0,1.0,1.0,3.0,35.66832,139.651592,1.0,0.0,0.0
3.0,1.0,1.0,1.0,35.664386,139.69888,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.695622,139.707644,0.0,1.0,0.0
3.0,1.0,1.0,3.0,35.668364000000004,139.73386100000002,1.0,0.0,0.0
3.0,1.0,1.0,3.0,35.669374,139.728404,0.0,1.0,0.0
4.0,1.0,1.0,3.0,35.715245,139.790417,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.714539,139.72511599999999,0.0,1.0,0.0
1.0,1.0,1.0,1.0,35.656693,139.686304,0.0,0.0,1.0
2.0,0.0,1.0,1.0,35.647749,139.693848,1.0,0.0,0.0
3.0,1.0,1.5,2.0,35.659737,139.65775,0.0,1.0,0.0
4.0,0.0,1.0,1.0,35.664713,139.70676799999998,1.0,0.0,0.0
1.0,1.0,2.0,3.0,35.682404,139.682151,0.0,1.0,0.0
4.0,1.0,1.0,2.0,35.659818,139.725344,1.0,0.0,0.0
3.0,1.0,1.0,3.0,35.670376,139.738529,1.0,0.0,0.0
2.0,1.0,1.0,2.0,35.788961,139.78960700000002,0.0,1.0,0.0
3.0,0.0,1.0,7.0,35.666564,139.734332,1.0,0.0,0.0
2.0,1.0,1.0,2.0,35.694131,139.69782800000002,1.0,0.0,0.0
4.0,1.0,1.0,1.0,35.676415000000006,139.67136100000002,1.0,0.0,0.0
4.0,1.0,1.0,1.0,35.73209,139.82510200000002,0.0,1.0,0.0
2.0,0.0,1.0,3.0,35.669831,139.70894099999998,1.0,0.0,0.0
4.0,1.0,1.0,1.0,35.677657,139.70668999999998,1.0,0.0,0.0
1.0,1.0,1.5,2.0,35.683786,139.69820900000002,0.0,0.0,1.0
5.0,2.0,1.0,1.0,35.655842,139.73424599999998,1.0,0.0,0.0
5.0,0.0,1.0,2.0,35.690438,139.70868000000002,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.734164,139.718085,1.0,0.0,0.0
3.0,1.0,1.0,1.0,35.677191,139.679173,1.0,0.0,0.0
5.0,2.0,1.0,2.0,35.715610999999996,139.655168,1.0,0.0,0.0
3.0,1.0,1.0,1.0,35.678715999999994,139.799821,0.0,1.0,0.0
